"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","nam"
2685.1173879994,-0.00688561513211676,0.0564107454757155,-0.122062119088303,0.902849822081084,0.977299480184629,"GO:0000724","double-strand break repair via homologous recombination"
1151.19369928419,-0.0446668557332641,0.0839499939622695,-0.532065026155203,0.594680959199796,0.957660461302894,"GO:0000729","DNA double-strand break processing"
4195.37227282053,0.0303701928037425,0.0749586326955053,0.405159375399914,0.68536036432742,0.961641767879583,"GO:0000774","adenyl-nucleotide exchange factor activity"
1485.75309966851,-0.137677389186455,0.082625305190557,-1.66628599881032,0.095656464072299,0.575466093078079,"GO:0000775","chromosome, centromeric region"
11519.4719509867,-0.0423637784386351,0.0519004570566737,-0.816250585083965,0.414356830470238,0.870944777677854,"GO:0000776","kinetochore"
25.5599407440441,0.381692121944015,0.413837389445254,0.922323916782074,0.356359642366566,NA,"GO:0000795","synaptonemal complex"
1553.55644280957,0.0181031496439382,0.0710685602590266,0.254727963785348,0.79893321654661,0.961641767879583,"GO:0000813","ESCRT I complex"
2308.39570514685,-0.0103464934902901,0.0580601380396186,-0.178203046696685,0.858563517103957,0.971214855714933,"GO:0000829","diphosphoinositol pentakisphosphate kinase activity"
164.298441180894,0.177088582418293,0.214572145143992,0.825310211162101,0.409195496084826,0.870944777677854,"GO:0000902","cell morphogenesis"
3663.63085847351,-0.106262493731455,0.0686043798973937,-1.548917050054,0.12140166171056,0.612542936699764,"GO:0000922","spindle pole"
2953.76622082433,0.0240123076676448,0.0669971647823411,0.358407818385383,0.720038141545225,0.961641767879583,"GO:0000976","transcription cis-regulatory region binding"
1432.20267035847,0.00362950410745481,0.06514436533391,0.0557147819132335,0.955569023530296,0.986977256642072,"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding"
1205.52534114046,0.0312382012908198,0.085952988892881,0.363433566338809,0.716281031156678,0.961641767879583,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
6678.87633270578,0.090755282207088,0.053194294891013,1.70610931854688,0.0879877279120137,0.568934361936909,"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific"
786.62000072643,0.0642258594113314,0.176426940985229,0.364036575438377,0.715830697250913,0.961641767879583,"GO:0001181","RNA polymerase I general transcription initiation factor activity"
448.950587594377,0.0915447133040654,0.108736288104917,0.841896618870565,0.399845823075876,0.870944777677854,"GO:0001222","transcription corepressor binding"
190.663560981906,0.141618265944688,0.165732439758241,0.85449937351596,0.39282835638287,0.870944777677854,"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific"
162.235252878389,0.137601625220267,0.180387684207747,0.762810531243336,0.445576399560445,0.878279726245205,"GO:0001401","SAM complex"
463.757048257412,-0.0319026024481148,0.124638907669986,-0.255960221767872,0.797981552758252,0.961641767879583,"GO:0001522","pseudouridine synthesis"
1116.55851483518,-0.114834417684976,0.119490664809287,-0.961032544828987,0.336535804373284,0.820988525712996,"GO:0001525","angiogenesis"
916.977039059511,-0.381396227894694,0.0915768964058592,-4.16476472629501,3.11673800715488e-05,0.00429590388652847,"GO:0001527","microfibril"
3742.83217086007,-0.0297830900728187,0.049375687428393,-0.603193426238603,0.546380020359138,0.925934993518458,"GO:0001540","amyloid-beta binding"
268.234559715981,0.225603320052518,0.133070966517949,1.69536094879185,0.0900069692225601,0.572582796515825,"GO:0001664","G protein-coupled receptor binding"
2338.96843911902,-0.00478527404366837,0.0637326609483023,-0.0750835438606591,0.9401482409592,0.983284844560872,"GO:0001671","ATPase activator activity"
1456.66105614414,0.0371298503583417,0.067875759842832,0.547026662306497,0.584360414791253,0.949442167057694,"GO:0001682","tRNA 5'-leader removal"
1.67161803297887,0.601121845768238,1.62298925144504,0.370379437345642,0.711099792759539,NA,"GO:0001764","neuron migration"
402.346528719109,-0.10564050964627,0.129184744793126,-0.817747558470942,0.413501348103601,0.870944777677854,"GO:0001779","natural killer cell differentiation"
50.7329404433675,-0.0746629245721897,0.284056624071506,-0.262845215513773,0.792669883517945,0.961641767879583,"GO:0001818","negative regulation of cytokine production"
96.5840829318028,0.212533405380988,0.245327903680303,0.866323814750192,0.386312610056272,0.870944777677854,"GO:0001845","phagolysosome assembly"
1834.34045193283,0.0722488289936181,0.0590331183548181,1.22386943138201,0.221001486893521,0.713938397113054,"GO:0001944","vasculature development"
1183.58180156185,0.201369659540168,0.136485976917998,1.4753871722745,0.140108482102095,0.621634573525947,"GO:0002020","protease binding"
3278.58993602493,0.0680094801695518,0.111078452198865,0.612265284789831,0.540362253992498,0.923703906343303,"GO:0002037","negative regulation of L-glutamate import across plasma membrane"
418.007790070185,-0.0436107780861339,0.132054514698711,-0.330248293181298,0.74121235914277,0.961641767879583,"GO:0002098","tRNA wobble uridine modification"
696.193101371828,-0.0335968597400978,0.0946689138150062,-0.354887981558022,0.722673512540343,0.961641767879583,"GO:0002161","aminoacyl-tRNA editing activity"
7.36728671157403,0.156894274902835,0.924135710469414,0.169774063620094,0.865187825022174,NA,"GO:0002218","activation of innate immune response"
17.7323417553862,0.293747780011586,0.619396150697212,0.474248636645439,0.635322614126759,NA,"GO:0002221","pattern recognition receptor signaling pathway"
359.615573458587,0.135664474898182,0.145069058300473,0.935171679526505,0.349699831028381,0.839405267015354,"GO:0002224","toll-like receptor signaling pathway"
526.50330067915,-0.0834432001884872,0.125803082459377,-0.66328422608748,0.507148537108313,0.904545527244242,"GO:0002376","immune system process"
7.1701436250488,0.0845953001055724,0.824441577267992,0.102609211420294,0.91827313177668,NA,"GO:0002693","positive regulation of cellular extravasation"
28.8530114626937,-0.195347071361717,0.394816175276269,-0.494779807906867,0.620755559133062,NA,"GO:0002729",""
781.601646362567,-0.0455894267041725,0.111163177636518,-0.410112662065501,0.681723304694175,0.961641767879583,"GO:0002949","tRNA threonylcarbamoyladenosine modification"
1281.28525540225,-0.114951069650965,0.0637065627413478,-1.8043834842836,0.0711712103453101,0.511813834396273,"GO:0002953","5'-deoxynucleotidase activity"
82.7978579166828,0.0208271711940629,0.254037014603843,0.0819847896045455,0.934658808871226,0.983243115102093,"GO:0003341","cilium movement"
186.885744303505,-0.14439520282376,0.161992033712614,-0.891372245377989,0.372729502321779,0.868855441233355,"GO:0003352","regulation of cilium movement"
